time_fs,full_10state_c60_mean,full_10state_c60_ci95,reduced_4d3a_c60_mean,reduced_4d3a_c60_ci95,partition_acceptor_mean,donor_acceptor_coherence_mean,donor_acceptor_coherence_ci95,participation_ratio_mean
0.0,0.0014380594926732425,0.0002943853742940783,0.0014353315631108754,0.0002936702564686265,1.776218352237962e-06,0.0013097648867955386,0.00016100485266867435,1.0125643652782415
0.5,0.0018347435896198332,0.0003109959450127182,0.0016192036750655634,0.00028595330086937936,0.00017977550836262583,0.013014710413921141,0.002102247728075531,1.0129671865211163
1.0,0.0029123103737343932,0.00044339237812234217,0.002165202418043017,0.00030663714725139165,0.0007118557837105507,0.02590722193627209,0.0041351219145355595,1.0143423346884675
1.5,0.004408280703458287,0.0007130002744529648,0.0030677654448882955,0.0004555804653334402,0.0015935598548379073,0.03877371780047158,0.006097295089913658,1.0171987449973603
2.0,0.00603770409292986,0.0010439717732706284,0.004320510869171509,0.0007484918681045867,0.002819609079035529,0.05157710403922426,0.007997558361308625,1.0223527034898743
2.5,0.00763854379457253,0.0014142101473647584,0.005914933970379501,0.00115531046237213,0.004384129309129099,0.06429817881037403,0.009839094434043473,1.0308583543443004
3.0,0.009240145628307906,0.001845116174139226,0.00784237445018379,0.0016566128257273242,0.006280615637975695,0.07692178932025162,0.011621695045329753,1.0439465545575104
3.5,0.01102852608262374,0.0023620945886238206,0.010091268884949779,0.002240205924963173,0.008500738668469204,0.08942928731204669,0.013339910080192544,1.0629592757507318
4.0,0.013241181049611426,0.0029805804745984222,0.01264752587348603,0.002896144391357114,0.01103258788413626,0.10178956344203685,0.014994978020809525,1.089315551536316
4.5,0.016042797384652824,0.0037153108955511605,0.015493783512530251,0.0036182170687248925,0.01386015976524973,0.1139623404681948,0.01659623260180651,1.1245296415016934
5.0,0.019448952386018088,0.004579173550610234,0.018604112892656576,0.004408183432921827,0.01696002165105297,0.1258869905920334,0.018165915604913336,1.1701935300138797
5.5,0.02332966323108389,0.005564901962347963,0.021946448040633372,0.005276628390502341,0.020300094323358112,0.13748387497222675,0.01974303815970871,1.2279900590214607
6.0,0.02747351670328878,0.006652749720407434,0.025478830999222973,0.006244613828999794,0.02383821323060618,0.14865754219248634,0.02137395391099261,1.2996925644037607
6.5,0.03167461527591905,0.007832318813730818,0.02915200476005792,0.007337013008763631,0.02752308221978237,0.15930796350516424,0.023097993620328005,1.3871191864899266
7.0,0.035793639631850324,0.00912203763414993,0.03290775821046896,0.00857334576833274,0.031295335303886576,0.1693415079215968,0.024927397519933777,1.491957910144283
7.5,0.03976760679749901,0.010544476130381506,0.036686172683999714,0.009954223444869813,0.03509235308792581,0.17868792124121852,0.0268368982798466,1.6154324818700552
8.0,0.04359005581451843,0.012114777993950786,0.04042668683920378,0.011458724235018073,0.03885153164014685,0.18730392486918013,0.028771489371523476,1.7577956496357683
8.5,0.04728115750997954,0.013816448528061425,0.04407844355450804,0.013041807781592965,0.04252002640657667,0.19519221033135353,0.030651664596775235,1.9177361711793655
9.0,0.05085240827260003,0.015591297502401872,0.04760305796765111,0.014646440009731764,0.04605768959609787,0.20239090608644122,0.0323992066590754,2.0917485480949383
9.5,0.05430101013321058,0.01733899044049935,0.050977530149450855,0.016213837776830012,0.049441540533618586,0.20896449863034064,0.03396437751928768,2.2736594519145763
10.0,0.057624922549420345,0.018952517109906884,0.05420133024388515,0.017707568532097828,0.052670660066979604,0.21499293814793416,0.03535061917926646,2.4539648312765467
10.5,0.06083599842141668,0.020360935503268975,0.057292039487677984,0.019125336107063212,0.05576392381171065,0.22055433288190018,0.03661908661297979,2.619760506747652
11.0,0.06397358369300644,0.021575420549559444,0.06028683030215164,0.020510939214223287,0.0587601488562323,0.22572099511911156,0.03787941962206584,2.757277087226538
11.5,0.06709672823252591,0.02270822462833935,0.0632340859653984,0.021953334099284225,0.06170921405754372,0.23054879230450748,0.03926183102907467,2.8569668650162576
12.0,0.0702675462050054,0.023944411563132307,0.06618188966939699,0.023562188612193852,0.06466166984132102,0.23507719960291779,0.040874232692365675,2.917299154090779
12.5,0.07352807956908103,0.025467224035020025,0.06916661434232538,0.025426580376941503,0.06765553345616232,0.23933027007939506,0.04276533873165006,2.944469623146266
13.0,0.07687361416025314,0.027375860748783825,0.0721930906981831,0.027568509638385866,0.07069657827575562,0.24330862214967436,0.044904490333877195,2.949372881575986
13.5,0.08024137879074944,0.029625781413619122,0.07522714851852333,0.029917386392316697,0.07375007735437969,0.24699898515206767,0.04718300962691976,2.9436994956161993
14.0,0.0835092926127421,0.03204985018929556,0.07818680381371443,0.03232607527190396,0.07673195082123756,0.2503652846820637,0.04944173004165138,2.937127856240072
14.5,0.086521572992842,0.03442714174940671,0.08094461205533768,0.034615079167328644,0.07951178684154171,0.253344951609052,0.05150108272609488,2.936059666928581
15.0,0.08912137635636737,0.03656186980398212,0.08334850958373673,0.03663315395657968,0.08193274761885173,0.255847869920069,0.05320062450629775,2.9431651534140775
15.5,0.09119143290663669,0.038340570654771755,0.08525803085245018,0.03831104909881428,0.08384958110476667,0.2577648577600477,0.05444570236392179,2.9571767954795862
16.0,0.09268098963048868,0.039749718610286415,0.08658572043075245,0.03968119738619114,0.08516968254998383,0.2589868738042373,0.055243268886448725,2.9731793737096273
16.5,0.09362264652216928,0.04086043965438049,0.0873337311902612,0.040856335920882614,0.08589089201597669,0.2594430912027526,0.05572547833478542,2.9845948207770023
17.0,0.09411897189238977,0.041772609976136015,0.08760197108867145,0.04195804947348234,0.0861122290945369,0.25913734056282745,0.05614595091141246,2.9861111267739715
17.5,0.09433673246848673,0.04257672434763295,0.08758684763444505,0.043061419751803484,0.08603010238579319,0.25819975974209214,0.05681511564019039,2.975756586018527
18.0,0.09447075626232529,0.0433273787446127,0.08752947791324309,0.04416735121422708,0.08588758922246421,0.25691298641785243,0.05792247109853319,2.9544409585484805
18.5,0.09470465685421176,0.04405860253462714,0.08765885791707842,0.04523451296645383,0.08591838400400093,0.25575485526392405,0.05928780094644493,2.92414512005289
19.0,0.09518104291278656,0.04480727305618978,0.08812842988489952,0.04624145786487357,0.0862805473043642,0.2552925456142572,0.06035978540561578,2.8871174075422803
19.5,0.09594301202878074,0.045637178304710556,0.08897503145924224,0.047219921181750245,0.08701565350086661,0.25580665453603546,0.06075457644827792,2.8465815601281994
20.0,0.09694825077360816,0.04660542342622059,0.09010939922495709,0.04823229146164545,0.08803836713632454,0.25698965099790405,0.06072935178574564,2.807183934528731
20.5,0.09803712179159493,0.047719979495356155,0.091346302172554,0.04930503016417029,0.08916768491676917,0.25828225434920726,0.0607324743756373,2.774203132711653
21.0,0.09903446277109175,0.04890219545227357,0.09245758833067882,0.05038352377347284,0.09017898487207816,0.25928498716288206,0.06088476662470314,2.7518587636524696
21.5,0.09973028977613123,0.05000517348062092,0.09323112905617327,0.051330847045635786,0.09086407021296783,0.25983337198693696,0.0610171267833259,2.7420848930361736
22.0,0.0999897144748169,0.05085899849287414,0.09352770369438236,0.05198027269815184,0.0910890928122155,0.2599370316116932,0.06089444818602885,2.744501246587379
22.5,0.09976484014743849,0.05131394445565609,0.09330630011873133,0.05220830217402318,0.09081756349301257,0.25968109674887707,0.06037848742179561,2.757090922618499
23.0,0.09910190454417228,0.05129735308691561,0.09263197987651356,0.051979679594002334,0.09012110475161463,0.25918324781740476,0.05948433888033552,2.7772323437048145
23.5,0.09813466596953671,0.05084090013483413,0.09164118859670059,0.05135363918294359,0.08914024284011264,0.2585284702336739,0.05838822974201206,2.802307633715282
24.0,0.0970372149462101,0.05007211895819024,0.09051316396615575,0.05045916152659556,0.08805891470521342,0.2578036194489283,0.05733495264899825,2.83011592228723
24.5,0.09598117023173494,0.049153505906964316,0.0894180061866734,0.049441004827632425,0.08704805755144127,0.2570981710812876,0.056534896333574385,2.8591407214404008
25.0,0.0950985072982285,0.0482079385423347,0.08848343932468547,0.048404388597727464,0.08623313212800127,0.2565148544109419,0.05608874222205153,2.8887205022969957
25.5,0.09445728100451882,0.04726996145550034,0.0877783399529271,0.0473860077143204,0.08567694210287725,0.2561470711052515,0.055987232694367506,2.918763085071174
26.0,0.09404423165284187,0.04630880619971334,0.08731768921877077,0.046368558457329206,0.08538442648588615,0.25605216498623223,0.05615348674177604,2.948409954667313
26.5,0.09380907306695899,0.04529577738474411,0.08708525962016889,0.04532984169294578,0.08532632131035846,0.25624106611747605,0.05649264905132172,2.974054784935975
27.0,0.09369346529687601,0.04428107666187467,0.08706694339742332,0.0442947583566187,0.08547284638990948,0.25669751704997523,0.05692112655588803,2.9886561352034073
27.5,0.09366839955587195,0.043399935047280895,0.08727107959717648,0.04334808203645364,0.08581716794355546,0.2574167232480594,0.057359011011845526,2.9851085620984605
28.0,0.09376417303996595,0.04281217398961968,0.08774156627472861,0.04259702813823835,0.08639047824873411,0.25846470581915726,0.05769452825289125,2.963874930271328
28.5,0.09410548278717197,0.04259741323586342,0.0885479063348313,0.042099179385340434,0.08725350844441024,0.2599982971985673,0.05776684120702193,2.9374361787772285
29.0,0.09488198531320605,0.04269082865281678,0.08976123203213007,0.04180952460186981,0.08847429825884945,0.2622190769795125,0.057407799886346846,2.924167985585888
29.5,0.09628810121289985,0.042904685709045605,0.09141975266228411,0.04158573969547232,0.09009319369267463,0.2652692695272535,0.056513514317135895,2.9376760320842092
30.0,0.09844771428146355,0.04302455732640881,0.09350445861047957,0.04125666118830561,0.09210025368109964,0.2691441125821044,0.055096101282451695,2.981292034123581
30.5,0.1013051780197628,0.04290443788639124,0.09591531290930867,0.0406872707430319,0.09440764132094778,0.2736434543215142,0.05328151144253777,3.0471044588993585
31.0,0.10467955315241531,0.04247223968575119,0.0984902092783737,0.03982532779869252,0.09686907773972026,0.2784300398569786,0.051274397364661745,3.1168937665790573
31.5,0.10820911667231263,0.04177863140879505,0.10102959748641058,0.03868678695752014,0.09930057046438574,0.28311816421357694,0.04929532220327259,3.167637797505513
32.0,0.1114953412025913,0.0408794958778702,0.10333159006358568,0.0373244769098829,0.10151595332921881,0.28736170741905487,0.04753304860650505,3.183694646331955
32.5,0.11418186706384097,0.03980112483150463,0.1052372251476339,0.03580846977388188,0.10336705469196347,0.290911177456008,0.04613205158073004,3.167707365357879
33.0,0.11602647504808913,0.03852766978210309,0.10665770630781132,0.03422950304048529,0.10477173846421935,0.2936275566996702,0.04520272860329081,3.1390687631270664
33.5,0.11694081841812687,0.037050505033727414,0.1075867965668607,0.032734154285779526,0.10572425558641327,0.2954667193580325,0.04483538704667602,3.1223366881385792
34.0,0.1170039962966382,0.03545226523429149,0.10810019047395933,0.03155396244288236,0.10629545664585431,0.29646478823047656,0.04509690005802,3.1357087069662666
34.5,0.11643374949275062,0.03397108524085861,0.10833544551184401,0.030990397474738408,0.10661248001582331,0.2967176338987,0.046011803127839354,3.1859791163853375
35.0,0.11557054767957235,0.03301756614004811,0.10848231693629846,0.03133536082664769,0.1068513803179774,0.2963876995725294,0.04755309258287082,3.2703350329235854
35.5,0.11474656829254722,0.032943928143327916,0.10875174494188514,0.032746328661665124,0.10720879310163703,0.2956911184254408,0.049637175245841096,3.3810701197374144
36.0,0.11434436515962025,0.033988913341246804,0.10936367732697232,0.03517429874603395,0.10789214090671032,0.29490874104995585,0.05212081618339417,3.5092064916594246
36.5,0.1146626664988227,0.0360775331110211,0.11052680124912165,0.03838663665979997,0.10910178282680916,0.2943943976148287,0.054776497607651214,3.6448932362280524
37.0,0.11591913861864929,0.03890513018319212,0.1124269500624964,0.04206195311620571,0.11102159876842563,0.29457735737166846,0.057283879627412666,3.7754839418111197
37.5,0.11823443317318787,0.042080899441707516,0.11519975376864837,0.04587195011335647,0.11379102216476415,0.29588530075440134,0.05930316074153769,3.883843203005996
38.0,0.1216910609041201,0.045310037779383416,0.11891819520033167,0.04955966291577326,0.11749287465153149,0.2985698797736829,0.060707665080733914,3.9519994807467946
38.5,0.12629287426284636,0.04846801271821847,0.12357610785248481,0.05298520625718059,0.12213329140452267,0.3025467353276491,0.061741034577918075,3.97071792771312
39.0,0.13194382914236363,0.05157075770265144,0.12907328064697235,0.0561391708355334,0.12762418690291813,0.3074522005710375,0.06281556327137723,3.945543243859711
39.5,0.13844084481321295,0.054722822221745966,0.1352160114308102,0.05910135811827894,0.13378077277502531,0.3128556265978656,0.06414113237208814,3.890923305806222
40.0,0.14546774242493576,0.058006213641027704,0.14173265702154259,0.061957690870999636,0.1403342095835198,0.3183989429299724,0.06560603553063772,3.819369353783511
40.5,0.1526446730140723,0.06139024766478862,0.14831211487457138,0.06472950423309541,0.14697146212034132,0.3238246821172777,0.06694129233068313,3.737415696572035
41.0,0.15957893249730623,0.06469159430300075,0.15465351079281536,0.06737754224414097,0.1533855582775918,0.3289474495131032,0.06791849961043764,3.6491678587143186
41.5,0.1659353121258211,0.06766239026210073,0.1605159854238379,0.06987749719968483,0.15932630390324118,0.3336214979787889,0.06842790584771932,3.559982269208522
42.0,0.17151334947358127,0.07014120363756508,0.16576263789910303,0.07229758465454228,0.1646487391475298,0.3377201698483079,0.06848753923878542,3.4766906809786926
42.5,0.17624142230869796,0.07217051777207747,0.17036391007889137,0.07480179120937581,0.1693182705440352,0.3411078029460262,0.0682537900639381,3.4058462983744477
43.0,0.18017369143674544,0.074009050219622,0.17438799401814614,0.07756384708992649,0.17339908160831394,0.34365433060427486,0.06802627272883649,3.3526088459328163
43.5,0.18344457115179796,0.07600680117810922,0.177957374274513,0.08064902281762537,0.17701320300970574,0.3452839991085791,0.06818735293209817,3.320325511331821
44.0,0.18621658707931657,0.07840777703674633,0.18119740436659665,0.08395190745781536,0.18028462560224906,0.3460218314126086,0.0690715973410788,3.3101911091258978
44.5,0.18862074075757224,0.08121269205227748,0.18420679706074958,0.08724009445098219,0.18331405786001362,0.3460267479712673,0.07080572351061609,3.3207923576046143
45.0,0.1908169517217128,0.0841896118813396,0.18704233598550235,0.09024696028828266,0.18615783289800625,0.3455876142902831,0.0732073509654225,3.347898250808245
45.5,0.19288572567578938,0.08697707066159946,0.18973440927675186,0.09275006208386033,0.188845845908451,0.3451031190457748,0.07581551926384096,3.38499628324397
46.0,0.19492544920843838,0.08924443970515994,0.19231094768014956,0.09461680189372203,0.19140868447714698,0.3450337287227182,0.07802056220419804,3.424731661521876
46.5,0.19705537270915527,0.0907986830201039,0.19482928303888994,0.09581298778210527,0.193906936119399,0.34584058397591655,0.07919643701266163,3.460811514138323
47.0,0.19942842066345515,0.09164483718740016,0.19738927440038784,0.09640110217216896,0.19644616990784908,0.347872693107118,0.07885425900582523,3.48868579185347
47.5,0.20220619383132585,0.09197448315877198,0.20012723377550118,0.09652863770559002,0.199167393364212,0.35114903102254746,0.07695624668423283,3.5047384990319363
48.0,0.2055208604737556,0.09210097184891092,0.20318630845378655,0.09641296453414695,0.2022193679143724,0.3552703208118335,0.0740925372726457,3.505137575658864
48.5,0.20943008485812795,0.09236159395672293,0.2066755582441914,0.09631051821619074,0.205713239461197,0.359666413479284,0.07114268551042038,3.4867792710582344
