latt/delta, 0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.10, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.20
5.2    0.000000000000000000e+00,2.219999999999977547e-02,5.210000000000025722e-02,8.559999999999945430e-02,1.196000000000001506e-01,1.540000000000008029e-01,1.890999999999998238e-01,2.245999999999996888e-01,2.610000000000001208e-01,2.980000000000000426e-01,3.357999999999998764e-01,3.745000000000002771e-01,4.138999999999999346e-01,4.540999999999995040e-01,4.950000000000001066e-01,5.370000000000008100e-01,5.798000000000005372e-01,6.235999999999997101e-01,6.681999999999996831e-01,7.137999999999999901e-01,7.602999999999999758e-01
5.3    0.000000000000000000e+00,2.279999999999926530e-02,5.349999999999965894e-02,8.780000000000054428e-02,1.224999999999996092e-01,1.577000000000001734e-01,1.935000000000002274e-01,2.298999999999997712e-01,2.670000000000003482e-01,3.047999999999992937e-01,3.433999999999999275e-01,3.826999999999998181e-01,4.227999999999996206e-01,4.637000000000002231e-01,5.054999999999996163e-01,5.480999999999998096e-01,5.915999999999996817e-01,6.360000000000001208e-01,6.813000000000002387e-01,7.275999999999998025e-01,7.747000000000001663e-01
5.4    0.000000000000000000e+00,2.339999999999964331e-02,5.499999999999971578e-02,8.999999999999985789e-02,1.253999999999999559e-01,1.614000000000004320e-01,1.980000000000003979e-01,2.351999999999998536e-01,2.730999999999994543e-01,3.117000000000000881e-01,3.509999999999999787e-01,3.912000000000004363e-01,4.318999999999997286e-01,4.735000000000004761e-01,5.159000000000002473e-01,5.591999999999996973e-01,6.032999999999999474e-01,6.482000000000001094e-01,6.940999999999997172e-01,7.408999999999998920e-01,7.887000000000004007e-01
5.5    0.000000000000000000e+00,2.409999999999978826e-02,5.649999999999977263e-02,9.220000000000005969e-02,1.284000000000000696e-01,1.650999999999998025e-01,2.024999999999996803e-01,2.404999999999999361e-01,2.793000000000001037e-01,3.185999999999999943e-01,3.587999999999995637e-01,3.996000000000003993e-01,4.412000000000002586e-01,4.835000000000002629e-01,5.265000000000004121e-01,5.704000000000002402e-01,6.150000000000002132e-01,6.604000000000000981e-01,7.067000000000005500e-01,7.541000000000002146e-01,8.022000000000000242e-01
5.6    0.000000000000000000e+00,2.470000000000016627e-02,5.800000000000071765e-02,9.440000000000026148e-02,1.311999999999997613e-01,1.688000000000000611e-01,2.069000000000000838e-01,2.458000000000000185e-01,2.853999999999992099e-01,3.256999999999994344e-01,3.666000000000000369e-01,4.081999999999998963e-01,4.504999999999999005e-01,4.933999999999993946e-01,5.371000000000005770e-01,5.815000000000001279e-01,6.265999999999998238e-01,6.726000000000000867e-01,7.194000000000002615e-01,7.669000000000005812e-01,8.155000000000001137e-01
5.7    0.000000000000000000e+00,2.529999999999965610e-02,5.940000000000011937e-02,9.649999999999980815e-02,1.341999999999998749e-01,1.723999999999996646e-01,2.114000000000002544e-01,2.511000000000001009e-01,2.915000000000000924e-01,3.326000000000002288e-01,3.742000000000000881e-01,4.165999999999998593e-01,4.596000000000000085e-01,5.032999999999994145e-01,5.476999999999998536e-01,5.926000000000000156e-01,6.383000000000000895e-01,6.847000000000003084e-01,7.317999999999997840e-01,7.797999999999998266e-01,8.285999999999997812e-01
5.8    0.000000000000000000e+00,2.590000000000003411e-02,6.090000000000017621e-02,9.859999999999935483e-02,1.368999999999997996e-01,1.760000000000001563e-01,2.157000000000000028e-01,2.561999999999997613e-01,2.974000000000005528e-01,3.392999999999997129e-01,3.818000000000001393e-01,4.249000000000000554e-01,4.687000000000001165e-01,5.130999999999996675e-01,5.580000000000007176e-01,6.035999999999992482e-01,6.498000000000008214e-01,6.966000000000001080e-01,7.441000000000004277e-01,7.925000000000004263e-01,8.414999999999999147e-01
5.9    0.000000000000000000e+00,2.649999999999952394e-02,6.219999999999981100e-02,1.005000000000002558e-01,1.395999999999997243e-01,1.793999999999993378e-01,2.198999999999999844e-01,2.611999999999996547e-01,3.031999999999994699e-01,3.459000000000003183e-01,3.891000000000000014e-01,4.329999999999998295e-01,4.775000000000000355e-01,5.224999999999999645e-01,5.681000000000002714e-01,6.142000000000003013e-01,6.608999999999998209e-01,7.081999999999997186e-01,7.561999999999997613e-01,8.046999999999995268e-01,8.540000000000000924e-01
6.0    0.000000000000000000e+00,2.709999999999990195e-02,6.339999999999967883e-02,1.024000000000002686e-01,1.420999999999992269e-01,1.825999999999998735e-01,2.237999999999997769e-01,2.659000000000002473e-01,3.086999999999999744e-01,3.519999999999994245e-01,3.960999999999996746e-01,4.406999999999996476e-01,4.858999999999999986e-01,5.316000000000000725e-01,5.777000000000001023e-01,6.245000000000002771e-01,6.717000000000004079e-01,7.194000000000002615e-01,7.676999999999996049e-01,8.166000000000002146e-01,8.661000000000003141e-01
6.1    0.000000000000000000e+00,2.759999999999962483e-02,6.460000000000043485e-02,1.042000000000005144e-01,1.444999999999998508e-01,1.855999999999999872e-01,2.274999999999991473e-01,2.701999999999999957e-01,3.136999999999998678e-01,3.578000000000001180e-01,4.027000000000002800e-01,4.478999999999997428e-01,4.938000000000002387e-01,5.402000000000004576e-01,5.868999999999999773e-01,6.341999999999998749e-01,6.819000000000006168e-01,7.301000000000001933e-01,7.786999999999997257e-01,8.280000000000002913e-01,8.776000000000001577e-01
6.2    0.000000000000000000e+00,2.810000000000023590e-02,6.569999999999964757e-02,1.057000000000005713e-01,1.466000000000002856e-01,1.882999999999999119e-01,2.309000000000001052e-01,2.743000000000002103e-01,3.185000000000002274e-01,3.633000000000006224e-01,4.086999999999996191e-01,4.547000000000007702e-01,5.011999999999998678e-01,5.480999999999998096e-01,5.955000000000003624e-01,6.432999999999999829e-01,6.914999999999995595e-01,7.400999999999999801e-01,7.892000000000001236e-01,8.386000000000004562e-01,8.885000000000005116e-01
